model_key,model_label,eval,metric,value,status,source
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_supported,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_supported,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,wrong_evidence_rejection,0.2375,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,object_wrong_rejection,0.412698,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,attribute_wrong_rejection,0.214765,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,relation_wrong_rejection,0.088,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,cepo_wrong,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,overall_rejection,0.270833,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,subject_object_swap_rejection,0.05,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,left_right_reversal_rejection,0.491667,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,false_accept_rate,0.729167,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_answer_dpo,32B CEPO Answer-DPO,relation_stress,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/relation_stress_probe/backbone_transfer/qwen25vl32b/cepo_answer_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,coco,accuracy,0.959,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,coco,false_positive_rate,0.016,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,coco,false_negative_rate,0.066,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,coco,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,coco,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,coco,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_heldout_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,gqa,accuracy,0.766,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,gqa,false_positive_rate,0.194,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,gqa,false_negative_rate,0.274,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,gqa,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,gqa,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,gqa,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/gqa_simple_heldout/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,hard_coco,accuracy,0.938,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,hard_coco,false_positive_rate,0.046,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,hard_coco,false_negative_rate,0.078,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,hard_coco,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,hard_coco,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,hard_coco,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/coco_hard_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,bem,accuracy,0.246679,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,bem,false_positive_rate,0.804878,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,bem,false_negative_rate,0.737624,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,bem,json_object_rate,,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,bem,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,bem,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/base_error_mined_object_existence/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_supported,support_accuracy,0.93,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_supported,json_object_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_supported,scored_output_rate,1.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_supported,parse_failure_rate,0.0,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,wrong_evidence_rejection,0.245,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,object_wrong_rejection,0.396825,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,attribute_wrong_rejection,0.234899,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
cepo_dual_dpo,32B CEPO-Dual-2k,cepo_wrong,relation_wrong_rejection,0.104,ready,/home/fhshao/CVPR-submission/results/eval/generations/cepo_wrong_evidence_probe/backbone_transfer/qwen25vl32b/cepo_dual_dpo.metrics.json
